Orthogroup	Duplications (all)	Duplications (50% support)
OG0000829	0	0
OG0000830	0	0
OG0000831	0	0
OG0000832	0	0
OG0000833	0	0
OG0000834	0	0
OG0000835	0	0
OG0000836	0	0
OG0000837	0	0
OG0000838	0	0
OG0000839	0	0
OG0000840	0	0
OG0000841	0	0
OG0000842	0	0
OG0000843	0	0
OG0000844	1	1
OG0000845	0	0
OG0000846	0	0
OG0000847	0	0
OG0000848	0	0
OG0000849	0	0
OG0000850	0	0
OG0000851	0	0
OG0000852	0	0
OG0000853	0	0
OG0000854	0	0
OG0000855	0	0
OG0000856	0	0
OG0000857	0	0
OG0000858	0	0
OG0000859	0	0
OG0000860	0	0
OG0000861	0	0
OG0000862	0	0
OG0000863	0	0
OG0000864	0	0
OG0000865	0	0
OG0000866	0	0
OG0000867	0	0
OG0000868	0	0
OG0000869	0	0
OG0000870	0	0
OG0000871	0	0
OG0000872	0	0
OG0000873	0	0
OG0000874	0	0
OG0000875	0	0
OG0000876	0	0
OG0000877	0	0
OG0000878	0	0
OG0000879	0	0
OG0000880	0	0
OG0000881	0	0
OG0000882	0	0
OG0000883	0	0
OG0000884	0	0
OG0000885	0	0
OG0000886	0	0
OG0000887	0	0
OG0000888	0	0
OG0000889	0	0
OG0000890	0	0
OG0000891	0	0
OG0000892	0	0
OG0000893	0	0
OG0000894	0	0
OG0000895	0	0
OG0000896	0	0
OG0000897	0	0
OG0000898	0	0
OG0000899	0	0
OG0000900	0	0
OG0000901	0	0
OG0000902	0	0
OG0000903	0	0
OG0000904	0	0
OG0000905	0	0
OG0000906	0	0
OG0000907	0	0
OG0000908	0	0
OG0000909	0	0
OG0000910	0	0
OG0000911	0	0
OG0000912	0	0
OG0000913	0	0
OG0000914	0	0
OG0000915	0	0
OG0000916	0	0
OG0000917	0	0
OG0000918	0	0
OG0000919	0	0
OG0000920	0	0
OG0000921	0	0
OG0000922	0	0
OG0000923	0	0
OG0000924	0	0
OG0000925	0	0
OG0000926	0	0
OG0000927	0	0
OG0000928	0	0
OG0000929	0	0
OG0000930	0	0
OG0000931	0	0
OG0000932	0	0
OG0000933	0	0
OG0000934	0	0
OG0000935	0	0
OG0000936	0	0
OG0000937	0	0
OG0000938	0	0
OG0000939	0	0
OG0000940	0	0
OG0000941	0	0
OG0000942	0	0
OG0000943	0	0
OG0000944	0	0
OG0000945	0	0
OG0000946	0	0
OG0000947	0	0
OG0000948	0	0
OG0000949	0	0
OG0000950	0	0
OG0000951	0	0
OG0000952	0	0
OG0000953	0	0
OG0000954	0	0
OG0000955	0	0
OG0000956	0	0
OG0000957	0	0
OG0000958	0	0
OG0000959	0	0
OG0000960	0	0
OG0000961	0	0
OG0000962	0	0
OG0000963	1	1
OG0000964	0	0
OG0000965	0	0
OG0000966	0	0
OG0000967	0	0
OG0000968	0	0
OG0000969	0	0
OG0000970	0	0
OG0000971	0	0
OG0000972	0	0
OG0000973	0	0
OG0000974	0	0
OG0000975	0	0
OG0000976	0	0
OG0000977	0	0
OG0000978	0	0
OG0000979	0	0
OG0000980	0	0
OG0000981	0	0
OG0000982	0	0
OG0000983	0	0
OG0000984	0	0
OG0000985	0	0
OG0000986	0	0
OG0000987	0	0
OG0000988	0	0
OG0000989	0	0
OG0000990	0	0
OG0000991	0	0
OG0000992	0	0
OG0000993	0	0
OG0000994	0	0
OG0000995	0	0
OG0000996	0	0
OG0000997	0	0
OG0000998	0	0
OG0000999	0	0
OG0001000	0	0
OG0001001	0	0
OG0001002	0	0
OG0001003	0	0
OG0001004	0	0
OG0001005	0	0
OG0001006	0	0
OG0001007	0	0
OG0001008	0	0
OG0001009	0	0
OG0001010	0	0
OG0001011	0	0
OG0001012	0	0
OG0001013	0	0
OG0001014	0	0
OG0001015	0	0
OG0001016	0	0
OG0001017	0	0
OG0001018	0	0
OG0001019	0	0
OG0001020	0	0
OG0001021	0	0
OG0001022	0	0
OG0001023	0	0
OG0001024	0	0
OG0001025	0	0
OG0001026	0	0
OG0001027	0	0
OG0001028	1	1
OG0001029	0	0
OG0001030	0	0
OG0001031	0	0
OG0001032	0	0
OG0001033	0	0
OG0001034	0	0
OG0001035	0	0
OG0001036	0	0
OG0001037	4	4
OG0001038	3	3
OG0001039	2	2
OG0001040	4	4
OG0001041	4	4
OG0001042	1	1
OG0001043	4	4
OG0001044	4	4
OG0001045	3	3
OG0001046	5	5
OG0001047	2	2
OG0001048	4	4
OG0001049	3	3
OG0001050	4	4
OG0001051	2	2
OG0001052	2	2
OG0001053	1	1
OG0001054	1	1
OG0001055	2	2
OG0001056	2	2
OG0001057	5	5
OG0001058	3	3
OG0001059	2	2
OG0001060	3	3
OG0001061	1	1
OG0001062	3	3
OG0001063	4	4
OG0001064	1	1
OG0001065	4	4
OG0001066	1	1
OG0001067	2	2
OG0001068	1	1
OG0001069	3	3
OG0001070	3	3
OG0001071	0	0
OG0001072	2	2
OG0001073	0	0
OG0001074	0	0
OG0001075	0	0
OG0001076	1	1
OG0001077	0	0
OG0001078	0	0
OG0001079	0	0
OG0001080	0	0
OG0001081	0	0
OG0001082	0	0
OG0001083	0	0
OG0001084	0	0
OG0001085	0	0
OG0001086	0	0
OG0001087	0	0
OG0001088	0	0
OG0001089	0	0
OG0001090	0	0
OG0001091	0	0
OG0001092	0	0
OG0001093	0	0
OG0001094	1	1
OG0001095	1	1
OG0001096	0	0
OG0001097	0	0
OG0001098	0	0
OG0001099	0	0
OG0001100	0	0
OG0001101	0	0
OG0001102	0	0
OG0001103	0	0
OG0001104	0	0
OG0001105	0	0
OG0001106	0	0
OG0001107	0	0
OG0001108	0	0
OG0001109	0	0
OG0001110	0	0
OG0001111	0	0
OG0001112	0	0
OG0001113	0	0
OG0001114	0	0
OG0001115	0	0
OG0001116	0	0
OG0001117	0	0
OG0001118	0	0
OG0001119	0	0
OG0001120	0	0
OG0001121	0	0
OG0001122	0	0
OG0001123	0	0
OG0001124	0	0
OG0001125	0	0
OG0001126	0	0
OG0001127	0	0
OG0001128	0	0
OG0001129	1	1
OG0001130	0	0
OG0001131	0	0
OG0001132	0	0
OG0001133	0	0
OG0001134	0	0
OG0001135	0	0
OG0001136	0	0
OG0001137	0	0
OG0001138	0	0
OG0001139	0	0
OG0001140	0	0
OG0001141	0	0
OG0001142	0	0
OG0001143	0	0
OG0001144	0	0
OG0001145	1	1
OG0001146	0	0
OG0001147	0	0
OG0001148	1	1
OG0001149	0	0
OG0001150	0	0
OG0001151	1	1
OG0001152	1	1
OG0001153	1	1
OG0001154	1	1
OG0001155	3	3
OG0001156	1	1
OG0001157	1	1
OG0001158	2	2
OG0001159	2	2
OG0001160	1	0
OG0001161	2	2
OG0001162	3	3
OG0001163	0	0
OG0001164	1	1
OG0001165	1	1
OG0001166	1	1
OG0001167	0	0
OG0001168	3	3
OG0001169	1	1
OG0001170	2	2
OG0001171	3	3
OG0001172	2	2
OG0001173	3	3
OG0001174	1	1
OG0001175	2	2
OG0001176	3	3
OG0001177	2	2
OG0001178	2	2
OG0001179	0	0
OG0001180	0	0
OG0001181	1	1
OG0001182	3	3
OG0001183	0	0
OG0001184	2	2
OG0001185	3	3
OG0001186	2	2
OG0001187	0	0
OG0001188	1	1
OG0001189	0	0
OG0001190	0	0
OG0001191	2	2
OG0001192	3	3
OG0001193	1	1
OG0001194	1	1
OG0001195	1	1
OG0001196	2	2
OG0001197	0	0
OG0001198	1	1
OG0001199	1	1
OG0001200	1	1
OG0001201	1	1
OG0001202	0	0
OG0001203	0	0
OG0001204	0	0
OG0001205	0	0
OG0001206	4	4
OG0001207	4	4
OG0001208	1	1
OG0001209	1	1
OG0001210	2	2
OG0001211	2	2
OG0001212	1	1
OG0001213	1	1
OG0001214	2	2
OG0001215	3	3
OG0001216	1	1
OG0001217	1	1
OG0001218	1	1
OG0001219	1	0
OG0001220	2	2
OG0001221	0	0
OG0001222	0	0
OG0001223	1	1
OG0001224	0	0
OG0001225	0	0
OG0001226	3	3
OG0001227	3	3
OG0001228	2	2
OG0001229	1	1
OG0001230	0	0
OG0001231	2	2
OG0001232	3	3
OG0001233	1	1
OG0001234	3	3
OG0001235	1	1
OG0001236	1	1
OG0001237	1	1
OG0001238	1	1
OG0001239	0	0
OG0001240	0	0
OG0001241	0	0
OG0001242	0	0
OG0001243	0	0
OG0001244	1	1
OG0001245	0	0
OG0001246	1	1
OG0001247	1	1
OG0001248	1	1
OG0001249	1	1
OG0001250	1	1
OG0001251	3	3
OG0001252	0	0
OG0001253	4	4
OG0001254	0	0
OG0001255	1	1
OG0001256	1	1
OG0001257	3	3
OG0001258	3	3
OG0001259	3	3
OG0001260	3	3
OG0001261	3	3
OG0001262	0	0
OG0001263	1	1
OG0001264	1	1
OG0001265	0	0
OG0001266	1	1
OG0001267	4	4
OG0001268	1	1
OG0001269	4	4
OG0001270	0	0
OG0001271	0	0
OG0001272	0	0
OG0001273	0	0
OG0001274	0	0
OG0001275	0	0
OG0001276	0	0
OG0001277	0	0
OG0001278	0	0
OG0001279	0	0
OG0001280	0	0
OG0001281	0	0
OG0001282	0	0
OG0001283	0	0
OG0001284	0	0
OG0001285	0	0
OG0001286	0	0
OG0001287	0	0
OG0001288	0	0
OG0001289	0	0
OG0001290	0	0
OG0001291	0	0
OG0001292	0	0
OG0001293	0	0
OG0001294	0	0
OG0001295	0	0
OG0001296	0	0
OG0001297	0	0
OG0001298	0	0
OG0001299	0	0
OG0001300	1	1
OG0001301	0	0
OG0001302	0	0
OG0001303	0	0
OG0001304	0	0
OG0001305	0	0
OG0001306	0	0
OG0001307	0	0
OG0001308	0	0
OG0001309	0	0
OG0001310	0	0
OG0001311	0	0
OG0001312	0	0
OG0001313	0	0
OG0001314	0	0
OG0001315	0	0
OG0001316	0	0
OG0001317	0	0
OG0001318	0	0
OG0001319	0	0
OG0001320	0	0
OG0001321	0	0
OG0001322	0	0
OG0001323	0	0
OG0001324	0	0
OG0001325	0	0
OG0001326	0	0
OG0001327	0	0
OG0001328	0	0
OG0001329	3	3
OG0001330	1	1
OG0001331	0	0
OG0001332	2	2
OG0001333	1	1
OG0001334	0	0
OG0001335	0	0
OG0001336	0	0
OG0001337	0	0
OG0001338	1	1
OG0001339	1	1
OG0001340	0	0
OG0001341	1	1
OG0001342	0	0
OG0001343	1	1
OG0001344	1	1
OG0001345	0	0
OG0001346	0	0
OG0001347	0	0
OG0001348	0	0
OG0001349	0	0
OG0001350	1	1
OG0001351	0	0
OG0001352	2	2
OG0001353	2	2
OG0001354	1	1
OG0001355	3	3
OG0001356	0	0
OG0001357	0	0
OG0001358	1	1
OG0001359	0	0
OG0001360	2	2
OG0001361	1	1
OG0001362	0	0
OG0001363	0	0
OG0001364	0	0
OG0001365	0	0
OG0001366	0	0
OG0001367	2	2
OG0001368	0	0
OG0001369	0	0
OG0001370	0	0
OG0001371	0	0
OG0001372	1	1
OG0001373	0	0
OG0001374	0	0
OG0001375	2	2
OG0001376	1	1
OG0001377	0	0
OG0001378	0	0
OG0001379	1	1
OG0001380	0	0
OG0001381	2	2
OG0001382	0	0
OG0001383	2	2
OG0001384	0	0
OG0001385	1	1
OG0001386	0	0
OG0001387	0	0
OG0001388	1	1
